"Plot","Date","minTemperature","maxTemperature","meanTemperature","Year","Accession","CO2_400","CO2_600","CO2_800","CO2_1000","CO2_1250","CO2_300","CO2_250","CO2_200","CO2_100","CO2_75","CO2_25"
2065,2021-08-19,13.8,22.3,18.05,2021,"SSA_00013",33.4656,38.8406,39.3428,38.8308,38.0856,21.9818,19.917,17.0533,9.13326,7.53162,2.92166
2065,2021-08-19,13.8,22.3,18.05,2021,"SSA_00013",32.1734,46.6242,51.3697,51.9928,52.467,23.3277,20.8793,17.8861,9.56348,7.89885,2.8125
1036,2021-08-31,12.9,16.7,14.8,2021,"SSA_00016",32.8476,44.3948,49.1711,49.305,49.0329,23.4734,21.4765,17.7688,9.31715,7.60983,2.53055
1036,2021-08-31,12.9,16.7,14.8,2021,"SSA_00016",19.5183,23.525,24.4512,24.7541,24.5943,14.265,12.5042,10.2741,5.17575,4.0525,1.0925
2048,2021-08-18,15.3,20.1,17.7,2021,"SSA_00016",33.5459,41.4164,43.4467,44.7036,45.0952,22.2492,19.3995,16.1182,8.57034,6.90154,2.64878
2016,2021-08-26,14.1,17.5,15.8,2021,"SSA_00018",20.9255,26.9414,29.5827,30.2845,30.1576,13.0465,11.4541,9.69614,5.04995,4.11943,1.40828
2016,2021-08-26,14.1,17.5,15.8,2021,"SSA_00018",22.182,25.6919,26.5936,26.4033,26.4001,13.8613,12.2518,10.2925,5.35176,4.25527,1.3
2016,2021-08-26,14.1,17.5,15.8,2021,"SSA_00018",29.7374,36.0934,37.2436,38.2383,38.1549,19.5082,16.9592,14.0306,7.25525,5.57523,1.8731
1250,2021-08-20,16.3,23.4,19.85,2021,"SSA_00024",14.4761,21.3693,27.5075,31.083,33.2496,11.3364,9.80632,8.22329,4.06307,3.14878,0.954981
1250,2021-08-20,16.3,23.4,19.85,2021,"SSA_00024",20.6463,29.891,36.2305,38.9301,39.8859,15.6294,13.2414,10.8429,5.39068,4.25504,1.28402
2319,2021-08-20,16.3,23.4,19.85,2021,"SSA_00024",25.0215,35.2565,40.9304,42.9912,44.3719,16.2747,14.3832,12.1406,6.46551,5.13621,2.05914
2319,2021-08-20,16.3,23.4,19.85,2021,"SSA_00024",23.0581,32.3274,38.5939,41.5749,42.7093,17.7317,15.488,12.7492,6.34083,5.03028,1.70492
2319,2021-08-20,16.3,23.4,19.85,2021,"SSA_00024",33.4244,42.1652,45.1886,46.1808,45.9486,19.6746,17.2743,14.6103,7.57519,6.00717,2.1279
1272,2021-08-18,15.3,20.1,17.7,2021,"SSA_00031",10.6823,15.6054,18.4075,19.4831,20.0809,7.60773,6.89336,6.14787,3.29775,3.06798,1.25178
1272,2021-08-18,15.3,20.1,17.7,2021,"SSA_00031",16.5306,22.886,25.4443,24.9395,23.9209,10.5378,9.73539,8.63001,4.64422,3.93599,1.25834
2087,2021-08-19,13.8,22.3,18.05,2021,"SSA_00031",17.3472,24.9024,29.0919,29.8682,28.1457,9.15431,8.20229,7.17553,3.66004,3.12927,0.952974
2087,2021-08-19,13.8,22.3,18.05,2021,"SSA_00031",26.6673,35.1288,36.9269,34.8564,34.1311,16.1369,14.7248,12.8141,6.71586,5.47294,1.89118
1149,2021-09-06,13.4,29.5,21.45,2021,"SSA_00033",25.1341,29.3087,30.3814,30.3314,30.4405,18.7168,16.3037,13.7341,7.13915,5.65617,1.89104
1149,2021-09-06,13.4,29.5,21.45,2021,"SSA_00033",15.8322,19.8613,21.017,21.0623,20.7535,11.3974,10.1439,8.46075,4.36089,3.53744,1.08819
2118,2021-09-07,15.5,30.4,22.95,2021,"SSA_00033",18.4379,23.4426,25.0648,24.6527,24.7468,13.198,12.0909,10.7366,5.80573,5.21242,1.77269
2118,2021-09-07,15.5,30.4,22.95,2021,"SSA_00033",25.819,30.6482,30.6179,30.1612,30.0844,17.1926,16.6065,14.7787,8.24988,6.97624,2.73985
2118,2021-09-07,15.5,30.4,22.95,2021,"SSA_00033",22.5214,29.8242,31.8969,30.9566,29.7655,16.5734,14.7182,12.9696,7.00064,6.06195,2.35993
1163,2021-08-25,13.9,18.4,16.15,2021,"SSA_00038",14.9435,18.8887,19.5304,19.5192,19.5541,10.5664,9.98494,9.00049,4.78289,4.19528,1.41369
1163,2021-08-25,13.9,18.4,16.15,2021,"SSA_00038",10.1156,13.2476,14.3162,14.5624,14.4123,7.41058,7.04779,6.5728,3.61786,3.23275,1.22702
2059,2021-09-02,13.7,19.1,16.4,2021,"SSA_00038",17.3111,21.5393,22.7338,22.3871,23.0051,12.4297,11.8548,10.305,5.32301,4.53753,1.49524
2059,2021-09-02,13.7,19.1,16.4,2021,"SSA_00038",18.7707,21.7071,21.7985,21.619,21.5865,14.9611,13.14,11.5282,6.25801,5.40685,1.60173
2059,2021-09-02,13.7,19.1,16.4,2021,"SSA_00038",20.6556,23.903,24.003,23.922,23.9329,15.619,13.6817,12.1318,6.68463,5.71395,2.0582
1034,2021-09-08,13.9,28.6,21.25,2021,"SSA_00041",16.303,22.8936,25.2504,26.9985,27.4457,11.2078,9.88087,8.16225,4.40535,3.46923,1.24602
1034,2021-09-08,13.9,28.6,21.25,2021,"SSA_00041",25.5502,31.4684,33.3319,33.5915,33.293,17.4003,15.2593,12.6664,6.47931,5.164,1.67442
2148,2021-08-24,11,23,17,2021,"SSA_00041",22.8299,30.2648,32.5674,33.1852,32.1535,13.7818,12.6679,11.0045,5.91316,5.00889,1.87726
2148,2021-08-24,11,23,17,2021,"SSA_00041",18.0988,25.1427,28.7614,29.729,30.2874,9.71286,8.65483,7.11585,3.78461,2.97249,1.11884
2148,2021-08-24,11,23,17,2021,"SSA_00041",16.1667,23.3906,27.8638,30.2537,30.8302,12.2963,11.0345,9.48831,4.91624,4.08586,1.37864
