ID,Accession,Year,Plot,Block,Replicate,Repeat,PAR_1800
2021_1254_2,SSA_00073,2021,1254,6,1,2,14.9721
2021_1254_3,SSA_00073,2021,1254,6,1,3,18.5064
2021_1255_1,SSA_00189,2021,1255,7,1,1,24.2677
2021_1255_2,SSA_00189,2021,1255,7,1,2,17.2357
2021_1255_3,SSA_00189,2021,1255,7,1,3,28.1951
2021_1257_1,SSA_00125,2021,1257,1,1,1,41.7468
2021_1257_2,SSA_00125,2021,1257,1,1,2,8.8831
2021_1257_3,SSA_00125,2021,1257,1,1,3,36.4467
2021_1258_1,SSA_00142,2021,1258,2,1,1,8.715
2021_1258_2,SSA_00142,2021,1258,2,1,2,4.7051
2021_1258_3,SSA_00142,2021,1258,2,1,3,4.6186
2021_1260_1,SSA_00312,2021,1260,4,1,1,26.7539
2021_1260_2,SSA_00312,2021,1260,4,1,2,28.8722
2021_1262_1,SSA_00157,2021,1262,6,1,1,14.5585
2021_1262_3,SSA_00157,2021,1262,6,1,3,22.4376
2021_1263_1,SSA_00298,2021,1263,7,1,1,23.7455
2021_1263_2,SSA_00298,2021,1263,7,1,2,24.3002
2021_1263_3,SSA_00298,2021,1263,7,1,3,31.1243
2021_1265_1,SSA_00117,2021,1265,1,1,1,3.30133
2021_1265_2,SSA_00117,2021,1265,1,1,2,6.10125
2021_1265_3,SSA_00117,2021,1265,1,1,3,1.68798
2021_1269_1,SSA_00104,2021,1269,5,1,1,19.6723
2021_1269_2,SSA_00104,2021,1269,5,1,2,9.78122
2021_1269_3,SSA_00104,2021,1269,5,1,3,18.8305
2021_1273_1,SSA_00092,2021,1273,1,1,1,10.3539
2021_1273_2,SSA_00092,2021,1273,1,1,2,9.85804
2021_1273_3,SSA_00092,2021,1273,1,1,3,14.8858
2021_1274_1,SSA_00248,2021,1274,2,1,1,8.24168
2021_1274_2,SSA_00248,2021,1274,2,1,2,20.5813
2021_1275_1,SSA_00269,2021,1275,3,1,1,19.798
2021_1275_2,SSA_00269,2021,1275,3,1,2,13.4666
2021_1275_3,SSA_00269,2021,1275,3,1,3,11.8376
2021_1279_1,SSA_00217,2021,1279,7,1,1,18.4851
2021_1279_2,SSA_00217,2021,1279,7,1,2,15.8554
2021_1279_3,SSA_00217,2021,1279,7,1,3,19.3892
2021_1280_1,SSA_00065,2021,1280,8,1,1,34.9828
2021_1280_2,SSA_00065,2021,1280,8,1,2,36.5362
2021_1280_3,SSA_00065,2021,1280,8,1,3,23.097
2021_1282_1,SSA_00086,2021,1282,2,1,1,17.3657
2021_1282_2,SSA_00086,2021,1282,2,1,2,20.0031
2021_1282_3,SSA_00086,2021,1282,2,1,3,18.5796
2021_1283_1,SSA_00021,2021,1283,3,1,1,20.5457
2021_1283_2,SSA_00021,2021,1283,3,1,2,12.2979
2021_1283_3,SSA_00021,2021,1283,3,1,3,17.3614
2021_1285_1,SSA_00180,2021,1285,5,1,1,24.1718
2021_1285_2,SSA_00180,2021,1285,5,1,2,25.2583
2021_1285_3,SSA_00180,2021,1285,5,1,3,21.8801
2021_1286_1,SSA_00047,2021,1286,6,1,1,28.7249
2021_1286_2,SSA_00047,2021,1286,6,1,2,25.5506
2021_1286_3,SSA_00047,2021,1286,6,1,3,1.34288
2021_1288_1,SSA_00237,2021,1288,8,1,1,31.0447
2021_1288_3,SSA_00237,2021,1288,8,1,3,28.1365
2021_1289_1,SSA_00020,2021,1289,1,1,1,25.5262
2021_1289_2,SSA_00020,2021,1289,1,1,2,14.6875
2021_1291_1,SSA_00124,2021,1291,3,1,1,0.773931
2021_1291_3,SSA_00124,2021,1291,3,1,3,3.18081
2021_1293_1,SSA_00306,2021,1293,5,1,1,16.1369
2021_1293_2,SSA_00306,2021,1293,5,1,2,19.341
2021_1293_3,SSA_00306,2021,1293,5,1,3,29.2993
2021_1298_2,SSA_00318,2021,1298,2,1,2,16.2825
2021_1298_3,SSA_00318,2021,1298,2,1,3,6.6195
2021_1299_1,SSA_00211,2021,1299,3,1,1,20.8438
2021_1299_2,SSA_00211,2021,1299,3,1,2,14.5965
2021_1299_3,SSA_00211,2021,1299,3,1,3,18.2556
2021_1301_1,SSA_00107,2021,1301,5,1,1,11.1391
2021_1301_2,SSA_00107,2021,1301,5,1,2,8.51127
2021_1301_3,SSA_00107,2021,1301,5,1,3,9.42797
2021_1304_2,SSA_00292,2021,1304,8,1,2,16.2868
2021_1304_3,SSA_00292,2021,1304,8,1,3,15.9628
2021_1308_1,SSA_00184,2021,1308,4,1,1,17.5261
2021_1308_2,SSA_00184,2021,1308,4,1,2,11.2364
2021_1308_3,SSA_00184,2021,1308,4,1,3,17.4301
2021_1312_1,SSA_00133,2021,1312,8,1,1,7.10081
2021_1312_2,SSA_00133,2021,1312,8,1,2,4.32999
2021_1312_3,SSA_00133,2021,1312,8,1,3,5.63572
2021_1314_1,SSA_00094,2021,1314,2,1,1,25.3576
2021_1314_2,SSA_00094,2021,1314,2,1,2,22.5716
2021_1314_3,SSA_00094,2021,1314,2,1,3,27.6782
2021_1318_1,SSA_00205,2021,1318,6,1,1,28.5752
2021_1318_2,SSA_00205,2021,1318,6,1,2,27.2185
2021_1318_3,SSA_00205,2021,1318,6,1,3,25.1085
2021_1320_1,SSA_00118,2021,1320,8,1,1,10.2176
2021_1320_2,SSA_00118,2021,1320,8,1,2,16.3789
2021_1320_3,SSA_00118,2021,1320,8,1,3,15.5674
2021_2001_1,SSA_00071,2021,2001,1,2,1,15.4806
2021_2001_2,SSA_00071,2021,2001,1,2,2,26.9006
2021_2001_3,SSA_00071,2021,2001,1,2,3,21.0017
2021_2002_1,SSA_00217,2021,2002,2,2,1,13.2923
2021_2002_2,SSA_00217,2021,2002,2,2,2,16.7255
