"","Km1_CO2","Km2_HCO3","Km2_PEP","Km6_CO2","Km6_O2","Km6_RuBP","Km7_PGA","Km10_DHAP","Km10_GAP","Km12_DHAP","Km12_E4P","Km14_GAP","Km15_GAP","Ki18_Pi","Km18_ATP","Km18_Ru5P","Km33_NADP","Ki57","Vm2y22","Vm3y22","Vm4y22","Vm5y22","Vm6y22","Vm7_8y22","Vm12y22","Jmaxy22","Vm33y22","Vm35Mc_OAAy22","KaRac","tao_ActRubisco","Perm_CO2","gm","BBslope","MRd"
"SSA_00070",2.62320386101074,0.0280664761712405,0.0969903172557091,0.0132803149613634,0.231458503038501,0.0199977071740988,3.37123690624067,0.600084472189745,0.0556458308601377,0.50636753885758,0.14924370288519,0.0691044469658992,0.100197910683334,3.45399487357319,1.58155920367015,0.0484536491464259,0.0590777945095892,0.134707185893736,0.0783916000998051,0.0616959641917801,0.0605515331886526,0.0802571424405,0.136418555872143,0.767993333419455,0.114875999520321,1.07248108442508,0.25590577666973,0.094502742501204,9.66826051775083,197.761421657176,0.154992432956132,2.28882072988299,3.35063139991192,1.2249639330032
"SSA_00075",4.09254468910366,0.0212376220655704,0.16490419150232,0.0127782581926031,0.193071154214845,0.0212564059129591,4.48721971220972,0.465395161148106,0.0519010855115488,0.353413681035104,0.189839820515163,0.0692217921419916,0.0722126117935645,5.93729639847148,0.626550423509173,0.0545053245180681,0.0312671187772814,0.159472345784395,0.126332497140964,0.0585591424776123,0.0583728948581919,0.0871879351394963,0.136409448569567,0.767488032242405,0.114328478614983,1.07248108442508,0.259047058705376,0.094502742501204,8.63651926786333,291.309639373966,0.125547277232906,2.80031581930527,2.6943890947174,2.01152705211457
"SSA_00079",4.63182020975576,0.0237529363566973,0.130839008120583,0.0121068780277496,0.179254751276421,0.0240230400299095,2.82569074385158,0.923126499599786,0.0553307070594818,0.304663225963025,0.188717441967088,0.0968487214781075,0.0710749644065817,8.13226744499396,0.506092892892641,0.0340221034503703,0.0404903497878127,0.144220378147543,0.0750708756140794,0.0747238309635484,0.0580637112641408,0.0869942242146673,0.136500864828636,0.768958258731999,0.114273475991483,1.07248108442508,0.253131663481527,0.094502742501204,14.3546646669595,241.827918530723,0.0798545836904661,2.05560310151988,3.02354070405533,1.79812322931126
"SSA_00080",3.18811289652638,0.0235757321550665,0.116951887536253,0.0182037988285738,0.176101492424037,0.0185272910354841,2.41491687029468,0.67308448263355,0.0738494544271684,0.464286539777649,0.11507220069366,0.120683956094868,0.092036191716982,11.0860812897621,0.423052045154187,0.0480144290580124,0.0320071380616898,0.197686702864703,0.0909650140436475,0.0548153520358512,0.0598011927122484,0.0800075581516183,0.136749135954283,0.772952356290301,0.116099096320679,1.07248108442508,0.257189815359779,0.094502742501204,13.221933861744,326.930015309453,0.130137022835739,1.91689574560603,3.17103062568113,1.92618249597159
"SSA_00091",4.74484548883422,0.0171608688496856,0.119136487776458,0.01496836544839,0.467616991358865,0.0271676507879995,3.4810473556509,0.802234012185517,0.022016382621974,0.430503962003137,0.394852641582521,0.191696580711059,0.0518242843127493,23.0399034956756,0.428646084354337,0.0258546235558834,0.0388524662310623,0.114420893173542,0.108302344464099,0.0744493070280835,0.0568579790508343,0.110272462799935,0.136572367630078,0.771143922612166,0.115475841627872,1.07248108442508,0.26584714770334,0.094502742501204,6.41276337719819,258.410091434189,0.0906215976053022,2.20350091099418,3.66960847005824,1.53987312892044
"SSA_00096",3.57506428585192,0.0273728121334089,0.0796565134715453,0.0119535745330619,0.283915289270473,0.0247951208171053,4.64586581999607,0.709501281016495,0.0372061416868725,0.473275022966809,0.169775955791483,0.0888514539649596,0.0644619913051644,4.3813591459076,0.507811198354666,0.0473091431170389,0.0434676636508563,0.205526484361687,0.0694433170884491,0.0553072305747971,0.060396238056878,0.0856589106391023,0.13650953436244,0.780371083254609,0.115277164049985,1.07248108442508,0.256022488254432,0.094502742501204,10.6416290068325,363.410118447428,0.0897480040153011,2.54822891032329,3.20614058025321,1.50205434862046
"SSA_00097",2.51694339377741,0.0312087434340856,0.115633929347627,0.0126470410722724,0.259984212959291,0.0196541330155943,5.17502278715464,0.437614946088823,0.0645852381248083,0.300719402677104,0.188116494984334,0.100221673484955,0.199882543363114,5.62631733646863,1.37830312866542,0.041116384289382,0.0389881005243874,0.267567100240496,0.124920861771689,0.0594180218620487,0.0622609078068926,0.0880712118159452,0.136984322374959,0.770001422526474,0.113264538815337,1.07248108442508,0.279764865022556,0.094502742501204,37.701657857078,276.830295962227,0.161419333992522,1.77452078380057,3.06010346951179,1.13625107332747
"SSA_00105",2.9002233076611,0.0250553966340942,0.119760217778083,0.0117177518279039,0.174901117016138,0.0170464001352794,6.68038157577744,0.976177169980653,0.0444380948641157,0.508259302895884,0.155318205304918,0.0981347499623464,0.071030488457555,3.91826346270029,0.672970190962365,0.0505951465918276,0.0576770500455923,0.141681737948094,0.0664402694727957,0.0538736374773643,0.0596324470657837,0.0845668145843384,0.136438359689048,0.767781611862158,0.114191220084772,1.07248108442508,0.262774625850444,0.094502742501204,9.07798411050029,396.197919383913,0.0638112209712977,1.87218850943354,3.34833792937123,2.40566191247005
"SSA_00108",3.33090517102936,0.0343681301209904,0.111750484750741,0.0253144227995729,0.223380938855709,0.0200347331187474,2.60145210539085,0.557398848500159,0.052059674341632,0.579775519002939,0.207169651437384,0.172016408495913,0.0943421429972035,5.67482837679249,0.472880235050426,0.0375915223700559,0.0404401232938274,0.139228604704331,0.0909904732861139,0.0534480642565375,0.0583295431252722,0.087592118694593,0.136498868142052,0.766967832133189,0.113868110253022,1.07248108442508,0.305909170253287,0.094502742501204,15.2805229684854,171.536469491735,0.0925633675638367,5.16474412911936,3.29920684898758,2.02926566092371
"SSA_00110",2.55230936895687,0.0369608209641763,0.130709646935974,0.0109137097788048,0.185083719809738,0.0181706138742255,5.38312207573569,0.567178220673335,0.0291018902697766,0.405007262168992,0.221904138929801,0.0798652556878249,0.0567960194315815,9.16878032365234,0.564186920939216,0.0439727439190601,0.0347269983070937,0.115690354025338,0.0796586563776768,0.054677712220716,0.0593714260861556,0.0824027531111735,0.136441660159226,0.774358281993104,0.11429204229224,1.07248108442508,0.272555825431785,0.094502742501204,6.92196832494993,186.418315769256,0.162003308845482,3.00979055503349,3.87206079026144,1.88629772639803
"SSA_00113",2.20273464403668,0.0193171180947791,0.202671001847963,0.0162052933447936,0.373117636011873,0.0176190816421062,6.19745170704456,0.474480416089039,0.05806348810563,0.41702428624232,0.154870740605758,0.0972041450498797,0.0831749599950249,3.57127905477153,0.667658957842062,0.048650428933272,0.0482773505801184,0.13938163207906,0.0687142821742406,0.0707723892981219,0.0631730846805089,0.0791021578375831,0.137262482457561,0.781545045303908,0.116025841818322,1.07248108442508,0.260876282669656,0.094502742501204,13.6493228746917,711.675891321548,0.340292982902731,2.86849267966248,2.92242701073758,1.74984197451748
"SSA_00119",3.42319698211591,0.0175555602665731,0.089823888070691,0.0169931290214485,0.26799061947074,0.0193662913740176,4.23164472136234,0.853848386559017,0.031676037158139,0.456324237539398,0.18151789228268,0.104645077974443,0.0604725595240664,5.16848450893259,0.817259901029984,0.0531161079668879,0.046563064397616,0.130497666591507,0.0632227278058548,0.0545256992007767,0.0614914833930841,0.0857208893639765,0.136518222774898,0.767436328963213,0.113590145523071,1.07248108442508,0.260819634646347,0.094502742501204,7.81758501754874,252.496699539823,0.0761418511030743,2.36944971708579,2.74974835548216,1.25155667127894
"SSA_00121",3.06882685941752,0.0398119053572635,0.154747736689635,0.0139087363397597,0.195032099206419,0.0238621412020606,4.1241378640834,0.462028536983769,0.0570677616535135,0.413050371363504,0.280506582653666,0.0957394493825487,0.0851000981605678,5.01768899687603,0.58971225712592,0.0424807170538595,0.0480394035207733,0.131775758229845,0.0675415496685269,0.0511113667875086,0.0573520249765419,0.0819266383731183,0.136573050412479,0.774573949143109,0.114354702358904,1.07248108442508,0.257247236136491,0.094502742501204,11.8432016422225,239.927866777996,0.108235207476552,3.80727704652462,2.43717643285705,1.55713062758169
"SSA_00123",2.53971249674839,0.0254145252626932,0.0889147315321079,0.0151550762085779,0.229565335642565,0.0235497700017667,2.78823385724805,0.555624642018049,0.102115320173676,0.431836856079417,0.172537627834814,0.125682394136438,0.0943220480724989,5.27796642772435,0.527281921601848,0.0638114305935731,0.0563053522528668,0.314850738107725,0.0732901704022556,0.054618021987442,0.0611461066796537,0.0806786452649409,0.136984275152189,0.765772390488608,0.115577956432016,1.07248108442508,0.245934143306939,0.094502742501204,14.3783864498334,204.202648694813,0.100583555939418,4.01002475352709,2.55967974449261,1.98866326346944
"SSA_00126",4.3861509138951,0.0195885372645803,0.143555239728564,0.0220324884408327,0.191076089742663,0.0185561025764679,2.70403064712345,0.528551613380777,0.0380439670418538,0.477834690446273,0.151662432330473,0.0862173524184816,0.0601038202868894,4.62046691488244,0.573068356298869,0.0306363971776627,0.043461316278514,0.128313491390786,0.0712993179556512,0.0562607927109934,0.0582766338672655,0.084146879349636,0.136549943653699,0.766494739523018,0.114524291366442,1.07248108442508,0.253240236021974,0.094502742501204,9.0576590930794,273.394030538257,0.094434912176943,1.7018817191579,3.25984917167163,1.67994456620076
"SSA_00128",2.78057038576745,0.0225055772918425,0.0888870438603343,0.0113385193334096,0.281282715081113,0.0207821824956335,4.03358899948056,0.674451529516444,0.045036557936151,0.426599676933836,0.143607749489571,0.0965984796409626,0.0802750677460004,3.06009869644708,0.978986379177979,0.0527035959382257,0.0416827001946864,0.183437751696768,0.0621235389469198,0.0525176089159805,0.0588592113159715,0.0843499677962765,0.13639080132493,0.760925417058837,0.113905220213272,1.07248108442508,0.249649709507101,0.094502742501204,10.9242246575635,216.888405080557,0.102126059529298,2.42516790470357,2.89700723877545,1.38459926011157
"SSA_00135",2.74942372614969,0.0364493766853652,0.0970995075716837,0.0113260059318094,0.227434202712781,0.0240919319973774,3.79648065783904,0.553132380769336,0.0400610124071044,0.470639867857976,0.203952379586378,0.102824737328662,0.0813383882173251,4.66720404504942,1.12689692979488,0.0306741630114591,0.0299697757334531,0.131272063489203,0.0877442429119799,0.053331244719386,0.0573197520743321,0.0887013833482445,0.136467326193622,0.770803210302312,0.11423849089256,1.07248108442508,0.27475016164112,0.094502742501204,14.733707982368,248.413456489911,0.149525799330266,8.67799613957793,2.97869602506428,2.02268041049885
"SSA_00138",4.18033317657379,0.0343590046216139,0.115075343218486,0.018005676446888,0.392727423864761,0.0217119882047431,4.01700642513084,0.479114934705396,0.0436577594571731,0.959523748815951,0.180201384801061,0.0935333993223202,0.0937196994340307,7.5651860596623,1.10283768173757,0.0313345185295103,0.0325303215424282,0.171072011796113,0.0865459726979311,0.0696103736611519,0.0606245032888719,0.0857088924996102,0.136717373387517,0.766981746438106,0.113900320440238,1.07248108442508,0.25973432947114,0.094502742501204,13.0168019027276,242.274068622985,0.122065768271777,4.28796206637082,2.86668769017044,1.1385361699477
