"","Km2_HCO3","Km6_CO2","Km6_O2","Km7_PGA","Km18_Ru5P","Ki57","Vm6y22","KaRac","tao_ActRubisco","BBslope","Vm6y23"
"SSA_00235",0.0499077750361058,0.0284649925810952,0.345107190283722,2.40251494636289,0.075816519414896,0.150532597981608,0.04901218005639,10.947524466281,217.158122093605,3.4622156221091,0.0627511752350632
"SSA_00238",0.0743742400957453,0.0137682103583409,0.169285413427538,2.62076159752061,0.049525412895126,0.320030521147727,0.0608318419135557,13.3561307442883,254.776004636234,2.85479578185097,0.0503315002697519
"SSA_00239",0.0557872099369979,0.0167924812355921,0.186273885211217,2.79673535992332,0.069361205619572,0.113934222026375,0.0639772941357688,14.5288693494251,212.498006393292,3.29380699519485,0.0463769301841792
"SSA_00240",0.0368472678748129,0.0139073579358231,0.217026342665161,4.36478412109574,0.0353311795296166,0.101768227666097,0.0505707300057482,12.3560700813236,250.882595560198,2.98511867100872,0.0531615162629346
"SSA_00241",0.0366693863378153,0.0162577184495146,0.263364672723558,2.18017253942255,0.0660213453949646,0.182958216868343,0.0663305924691645,26.9832890374874,263.222429928607,2.28330574426866,0.0530048361299908
"SSA_00254",0.0603580695745641,0.0174188383390058,0.223508463878752,1.87969178424545,0.0581630859634979,0.181353495654496,0.0525424313263074,10.577906486897,311.79850688533,3.00706296680716,0.055796942595032
"SSA_00262",0.0652261172203647,0.0169489594298681,0.326050180012326,2.86773946991079,0.0668343676976961,0.188826438338454,0.0458781896483604,7.25662394263107,227.286530803011,3.03200919467055,0.0451728145558706
"SSA_00271",0.033937426839071,0.0164578186147262,0.260746718865002,1.64202595865161,0.0412872282620442,0.282586542996567,0.049103582698538,16.857284732769,227.37665792108,2.0370485844425,0.114284553488741
"SSA_00275",0.0510866389660755,0.0211201556863129,0.316800645341561,3.0681269802924,0.0383618792522918,0.249129377948229,0.0622075455162033,10.464655508567,233.358327818969,2.86062009239772,0.0602134285818243
"SSA_00279",0.0518724119169114,0.0239876943870738,0.255748382738801,5.61488186357339,0.0479554798749909,0.170989420421794,0.065287171193349,12.2414694121607,356.151472314144,3.05083356110908,0.0604023170982756
"SSA_00286",0.0521134926533273,0.0389056750580313,0.25355878495011,2.19668352822498,0.040656749756494,0.215615918081404,0.0565178417069729,14.0462337730002,294.764356914079,2.7670438762438,0.0566312303783123
"SSA_00299",0.0755267095544716,0.0163783978900715,0.373893678239392,2.70005279746617,0.0543603170700498,0.421877555152206,0.0621109088241747,6.8970295854248,272.602319823531,2.91259035958643,0.0641368500112758
"SSA_00304",0.0672594565134138,0.0132724425437901,0.244811011444919,4.4625963381254,0.0382315788202812,0.218285492850117,0.0586258943145586,13.3463716057506,330.600765275449,2.68778900755809,0.0534770755763451
"SSA_00312",0.0635042688251855,0.0148950247803041,0.202058134745358,2.09508267159478,0.0367464313989028,0.141240346199454,0.05605032787345,11.893906791109,570.565674856838,3.74415030895839,0.0535194660481462
"SSA_00359",0.0527508855479638,0.0194237975906625,0.246238593595724,2.41746053073417,0.042147738303093,0.225458498720902,0.0721375097285003,18.2355548935169,240.775588394325,2.86574989266291,0.0622467311810938
"SSA_00367",0.0689125487385827,0.0284951935887855,0.201762382594413,1.65003667349508,0.055250821682542,0.150688541631059,0.125457023402746,25.934212089202,188.586564528394,3.02687811813461,0.0456698055768967
