Accession,2022_CO2_400,2022_CO2_600,2022_CO2_800,2022_CO2_1000,2022_CO2_1250,2022_CO2_300,2022_CO2_250,2022_CO2_200,2022_CO2_100,2022_CO2_75,2022_CO2_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_CO2_400,2023_CO2_600,2023_CO2_800,2023_CO2_1000,2023_CO2_1250,2023_CO2_300,2023_CO2_250,2023_CO2_200,2023_CO2_100,2023_CO2_75,2023_CO2_25,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00197,24.5257,24.6663,24.9506,25.2366,25.5369,25.1965,25.2291,25.6151,17.1982,13.4752,4.56856,18.8042,17.6098,13.3913,4.31456,-0.549137,-1.90736,22.4886,22.6294,22.8844,23.139,23.4054,23.1263,23.1683,23.5052,16.0085,12.6799,4.30483,18.8042,17.6098,13.3913,4.31456,-0.549137,-1.90736
SSA_00204,14.5144,14.5851,14.7906,15.006,15.2374,15.2495,15.4731,16.0205,12.595,9.89787,3.41658,12.0934,11.36,8.25852,1.77003,-1.12523,-1.9853,14.9969,15.0694,15.2841,15.5095,15.7516,15.7688,16.0033,16.5925,12.9664,10.1008,3.48644,12.0934,11.36,8.25852,1.77003,-1.12523,-1.9853
SSA_00209,12.1914,12.283,12.4899,12.7065,12.9391,12.9475,13.1853,13.7016,11.586,9.01301,3.13284,9.86471,9.26516,6.61813,1.14592,-1.26461,-2.00638,12.4439,12.5402,12.7517,12.9736,13.212,13.2215,13.4673,14.0085,11.7943,9.11546,3.16772,9.86471,9.26516,6.61813,1.14592,-1.26461,-2.00638
SSA_00216,20.714,20.8258,21.0658,21.3071,21.5605,21.3724,21.4645,21.8615,15.2676,12.1165,4.12071,17.6271,16.5159,12.4763,3.75467,-0.67879,-1.92364,21.4685,21.5972,21.8464,22.0983,22.3637,22.1613,22.2539,22.6847,15.7227,12.4053,4.22036,17.6271,16.5159,12.4763,3.75467,-0.67879,-1.92364
SSA_00222,16.5939,16.6804,16.8892,17.1056,17.3368,17.31,17.4951,18.0065,13.4256,10.6942,3.66315,14.2654,13.3752,9.88,2.44986,-0.974037,-1.9635,18.1107,18.2022,18.4368,18.6808,18.9419,18.9185,19.1259,19.7663,14.484,11.2751,3.86749,14.2654,13.3752,9.88,2.44986,-0.974037,-1.9635
SSA_00227,17.6393,17.7204,17.9444,18.1778,18.4281,18.4009,18.6005,19.1895,14.1572,11.1003,3.80532,14.2652,13.375,9.87983,2.44979,-0.974053,-1.9635,17.6462,17.7328,17.9614,18.1984,18.4517,18.4271,18.6279,19.2212,14.1993,11.0991,3.8082,14.2652,13.375,9.87983,2.44979,-0.974053,-1.9635
SSA_00229,17.6647,17.7543,17.9658,18.1831,18.4142,18.3486,18.5056,18.9792,13.8312,11.064,3.77655,15.3949,14.4329,10.7492,2.84985,-0.885209,-1.95127,18.8256,18.9019,19.1294,19.3646,19.6157,19.5461,19.7144,20.2689,14.6068,11.4895,3.92886,15.3949,14.4329,10.7492,2.84985,-0.885209,-1.95127
SSA_00235,28.0118,28.2516,28.5634,28.8643,29.1738,28.4209,28.234,28.116,18.0782,14.3794,4.83861,23.2271,21.6923,16.4995,7.11305,0.197529,-1.81628,27.5809,27.8072,28.115,28.4111,28.7151,27.9817,27.8039,27.6928,17.8594,14.2366,4.78868,23.2271,21.6923,16.4995,7.11305,0.197529,-1.81628
SSA_00238,20.3452,20.4507,20.6874,20.9297,21.1871,21.0425,21.1693,21.6499,15.2497,12.0471,4.1028,16.7037,15.6518,11.7558,3.35711,-0.769733,-1.93554,19.9814,20.0856,20.3234,20.5645,20.8192,20.6876,20.8142,21.2903,15.0494,11.8733,4.05052,16.7037,15.6518,11.7558,3.35711,-0.769733,-1.93554
SSA_00239,28.8283,29.0583,29.3837,29.7014,30.0295,29.2952,29.1231,29.0755,18.6934,14.7352,4.96499,22.3888,20.916,15.9719,6.47927,0.0102757,-1.83868,28.449,28.6772,29.0009,29.3155,29.6396,28.9201,28.7563,28.7123,18.5161,14.6139,4.92493,22.3888,20.916,15.9719,6.47927,0.0102757,-1.83868
