Km1_CO2,Km2_HCO3,Km2_PEP,Km6_CO2,Km6_O2,Km7_PGA,Km10_GAP,Km12_DHAP,Km12_E4P,Km14_GAP,Ki18_Pi,Km18_ATP,Km18_Ru5P,Km33_NADP,Ki57,Vm2y22,Vm3y22,Vm4y22,Vm5y22,Vm6y22,Vm7_8y22,Jmaxy22,KaRac,tao_ActRubisco,Perm_CO2,BBslope,MRd,Vm2y23,Vm3y23,Vm4y23,Vm5y23,Vm6y23,Vm7_8y23,Jmaxy23
1.27940980730405,1.06633184781713,1.20838839005598,1.33109445588172,1.07193354262963,1.10194204689752,1.14413560627201,1.03872749537594,1.08277106627985,1.14649751110092,1.19576162467507,1.0977467036169,1.1143064283599,1.23993537129011,1.16974798693021,1.1511074525655,1.09587869580477,1.08136404532044,1.12034748351413,1.04406887280516,1.13398470741953,1.09946041833886,1.07608194767391,1.12345344702794,1.14017401116682,1.03119994367004,1.17393497241547,1.10413196058468,1.04442376225938,1.23575981656255,1.10871455520572,1.03117924909982,1.15237473303976,1.15550688975865
1.13387616930253,1.91040216292548,1.3337827085462,2.17906669558259,3.20159499148712,3.09128596629504,2.25668539341157,1.36285037317394,2.27686415139312,2.31073473702809,1.31822497165952,1.39015663874498,1.89616547140731,1.40897297678089,1.69652061629575,2.2657619007036,1.28912708707426,1.68022537636045,1.60643180426484,2.50584270683759,1.47413559576891,2.04132797575462,1.13327497783357,2.61179686079438,1.64847007855209,1.2028549215501,1.9195611565783,1.26275945633216,2.07912425555735,2.67782274426752,1.08637345711288,2.98851980147482,1.5557635681027,3.10708801274035
1.88987854998607,1.25670822097701,1.18920401535459,1.59726781074316,1.76747985635695,1.40211059401187,1.65851897790712,1.23970729262285,1.24893145148864,2.45953661695745,1.4922357206002,1.28185935792463,1.63415245013499,1.51652057441882,1.44853204178455,1.06408466470361,1.09341371228942,1.38322654427182,1.48287953187504,1.02157905748647,1.2168847645397,1.21356978284056,1.21178998277709,1.38764169362721,1.04466295516295,1.06953798371557,1.2466456826029,1.21079651338699,2.14979419339308,1.31235799065936,1.16640551116326,1.20263342778285,1.38522911014372,1.15039633796029
1.32389054534455,1.30967881223542,1.14662284137576,1.11771521491475,1.12275315406073,1.20951537279937,1.59851806376593,1.43092074800377,1.11826882581041,1.60427608801018,1.99030968479082,1.17580448035639,1.31303239297001,1.71290365966204,1.16514876142582,1.12713723924902,1.10841994968487,1.27808780986059,1.11828112685922,1.41685050936676,1.34977103528095,1.11147216526696,1.10121491068413,1.25056246139979,1.26272484046653,1.06930755417927,1.10719679006764,1.11202140934575,1.07818665395048,1.40975502953926,1.21534173740609,1.39618024651784,1.21227303199959,1.29260921585507
1.65134277675231,1.97858195462702,1.34875897305297,2.76341017528017,1.11322146741417,1.29010192779612,1.42172244360269,1.14371115920572,1.14165837108454,1.42135297214244,1.13836711203401,1.56469616666253,1.12711149540141,1.18093136261818,1.32600310966351,1.35295322442347,1.06284293771959,1.08626108752305,1.46621647310888,1.61089039869934,1.08602686626607,1.09204142782861,1.34241920207072,2.08073061003096,1.09252704411869,1.18717273552033,1.11126142589294,1.26266278608845,1.79791850131249,1.73720594598026,1.75776260480476,1.25517785720506,1.18515966368014,1.21042676828226
1.20697165067575,1.43575238309905,1.79365127497395,1.5933467834253,1.65542847923197,1.49847342618139,1.82757832088489,2.17576640101796,1.80980890925592,1.65610541722909,2.07526918368944,2.63926432827903,1.37206952231483,2.67770103454111,2.97171783899459,1.3319955856237,3.42120104043202,1.34083598106847,2.463480032533,2.1324962796325,2.22421529311504,3.480749453234,1.97804374882941,1.4898443114893,1.36099415454017,1.15454273726644,1.25500311874568,1.50557020251222,2.38018368102246,2.55460505349777,1.20852780592403,1.48656229106043,1.59058813012065,1.36663525382248
1.19648761331793,1.20426831431307,1.52336329138599,1.14915638135216,1.19932508477001,1.25179110732422,1.18198436959587,1.13047463913422,1.02583143217102,1.15554558101613,1.32539156537101,1.04143385139876,1.12419915300297,1.21698903416247,1.17542061644502,1.10892642229269,1.32159855269457,1.19556059670011,1.45981028898158,1.29176188986185,1.08501104340955,1.37814744800695,1.09659882593748,1.10402598211456,1.17350926538698,1.06578347966883,1.16982646722335,1.27452899276336,1.34800881668556,1.09690886941496,1.03997230135181,1.37151206225438,1.13703685687329,1.04620069634532
1.9598738145812,1.2204884296624,1.17996054261172,1.22652855438811,1.48089715109009,1.09203160564114,1.08768904139676,1.19769254706807,1.12840223356984,1.78783210775886,1.20403491101548,1.23411220277234,1.42782032603423,1.26222327336089,1.17919116758612,1.04909626726768,1.37670004655819,1.40793699136049,1.29607673830719,1.10148327807716,1.39307686385838,1.22032480824743,1.09700172192699,1.57085793623523,1.43125878809191,1.04671026614274,1.34301779825282,1.02305146332741,1.16756512534311,1.13448812405,1.19632470840357,1.32674677367044,1.24595769213964,2.23408831736943
1.20705212577621,1.66952257337619,1.45747078626283,1.37164891135442,1.15116878364955,1.10985048271067,1.38310965629771,1.66366552214659,1.15781244573929,1.40852686032131,1.28241024604852,1.26657500107961,1.28133764761268,1.547877895759,1.26588747917329,1.12404794331357,1.47769381595484,1.07728118653883,1.81366511057144,1.51771390847153,1.14872031335696,1.06455222124093,1.20699527636562,1.30666638427712,1.14775950473228,1.10713534173011,1.14973553135647,1.51512906753954,1.56586146412669,1.41861714324095,1.12083385037675,1.30918427361416,1.32178862025731,1.42539566674666
1.12631769894855,1.31242251057182,1.40077139337866,1.59874709073506,1.73518030684346,1.21826309941776,1.09618949725138,1.67115513251418,1.19375335110573,1.44700672161067,1.29363604205122,1.1656266714889,1.23915232439071,1.29489574092605,1.26623547416986,1.25013002477885,1.18826391081257,1.49852299774811,1.08413385440029,1.12960094713996,1.12667777193097,1.27611188773916,1.30380394840199,1.17127560070599,1.45150679907726,1.06134673691416,1.11309543332387,1.19080879006424,1.3975326082034,1.20598481025327,1.12387201338449,1.20563975692414,1.64713967874632,1.17365460320153
