Plot,Replication,Block,Column,Accession
1167,1,7,21,SSA_00343
1168,1,8,21,SSA_00103
1169,1,1,22,SSA_00183
1170,1,2,22,SSA_00151
1171,1,3,22,SSA_00189
1172,1,4,22,SSA_00001
1173,1,5,22,SSA_00075
1174,1,6,22,SSA_00318
1175,1,7,22,SSA_00302
1176,1,8,22,SSA_00040
1177,1,1,23,SSA_00212
1178,1,2,23,SSA_00077
1179,1,3,23,SSA_00237
1180,1,4,23,SSA_00045
1181,1,5,23,SSA_00152
1182,1,6,23,SSA_00162
1183,1,7,23,SSA_00277
1184,1,8,23,SSA_00070
1185,1,1,24,SSA_00136
1186,1,2,24,SSA_00246
1187,1,3,24,SSA_00009
1188,1,4,24,SSA_00202
1189,1,5,24,SSA_00218
1190,1,6,24,SSA_00256
1191,1,7,24,SSA_00054
1192,1,8,24,SSA_00147
1193,1,1,25,SSA_00120
1194,1,2,25,SSA_00403
1195,1,3,25,SSA_00305
1196,1,4,25,SSA_00236
1197,1,5,25,SSA_00106
1198,1,6,25,SSA_00268
1199,1,7,25,SSA_00276
1200,1,8,25,SSA_00069
1201,1,1,26,SSA_00229
1202,1,2,26,SSA_00036
1203,1,3,26,SSA_00122
1204,1,4,26,SSA_00219
1205,1,5,26,SSA_00016
1206,1,6,26,SSA_00096
1207,1,7,26,SSA_00056
1208,1,8,26,SSA_00274
1209,1,1,27,SSA_00287
1210,1,2,27,SSA_00181
1211,1,3,27,SSA_00112
1212,1,4,27,SSA_00273
1213,1,5,27,SSA_00002
1214,1,6,27,SSA_00005
1215,1,7,27,SSA_00032
1216,1,8,27,SSA_00316
1217,1,1,28,SSA_00346
1218,1,2,28,SSA_00221
1219,1,3,28,SSA_00254
1220,1,4,28,SSA_00225
1221,1,5,28,SSA_00080
1222,1,6,28,SSA_00121
1223,1,7,28,SSA_00286
1224,1,8,28,SSA_00244
1225,1,1,29,SSA_00312
1226,1,2,29,SSA_00187
1227,1,3,29,SSA_00245
1228,1,4,29,SSA_00233
1229,1,5,29,SSA_00208
1230,1,6,29,SSA_00298
1231,1,7,29,SSA_00058
1232,1,8,29,SSA_00161
1233,1,1,30,SSA_00257
1234,1,2,30,SSA_00138
1235,1,3,30,SSA_00065
1236,1,4,30,SSA_00230
1237,1,5,30,SSA_00004
1238,1,6,30,SSA_00209
1239,1,7,30,SSA_00308
1240,1,8,30,SSA_00247
1241,1,1,31,SSA_00163
1242,1,2,31,SSA_00278
1243,1,3,31,SSA_00224
1244,1,4,31,SSA_00068
1245,1,5,31,SSA_00182
1246,1,6,31,SSA_00062
1247,1,7,31,SSA_00266
1248,1,8,31,SSA_00169
1249,1,1,32,SSA_00153
1250,1,2,32,SSA_00107
1251,1,3,32,SSA_00011
1252,1,4,32,SSA_00095
1253,1,5,32,SSA_00156
1254,1,6,32,SSA_00052
1255,1,7,32,SSA_00109
1256,1,8,32,SSA_00092
1257,1,1,33,SSA_00084
1258,1,2,33,SSA_00174
1259,1,3,33,SSA_00013
1260,1,4,33,SSA_00207
1261,1,5,33,SSA_00199
1262,1,6,33,SSA_00170
1263,1,7,33,SSA_00063
1264,1,8,33,SSA_00259
1265,1,1,34,SSA_00049
1266,1,2,34,SSA_00099
1267,1,3,34,SSA_00132
1268,1,4,34,SSA_00211
1269,1,5,34,SSA_00226
1270,1,6,34,SSA_00250
1271,1,7,34,SSA_00281
1272,1,8,34,SSA_00271
1273,1,1,35,SSA_00026
1274,1,2,35,SSA_00264
1275,1,3,35,SSA_00194
1276,1,4,35,SSA_00061
1277,1,5,35,SSA_00255
1278,1,6,35,SSA_00300
1279,1,7,35,SSA_00128
1280,1,8,35,SSA_00050
1281,1,1,36,SSA_00296
1282,1,2,36,SSA_00191
1283,1,3,36,SSA_00272
1284,1,4,36,SSA_00031
1285,1,5,36,SSA_00252
1286,1,6,36,SSA_00193
1287,1,7,36,SSA_00366
1288,1,8,36,SSA_00220
1289,1,1,37,SSA_00160
1290,1,2,37,SSA_00125
1291,1,3,37,SSA_00267
1292,1,4,37,SSA_00304
1293,1,5,37,SSA_00284
1294,1,6,37,SSA_00282
1295,1,7,37,SSA_00090
1296,1,8,37,SSA_00114
1297,1,1,38,SSA_00108
1298,1,2,38,SSA_00185
1299,1,3,38,SSA_00177
1300,1,4,38,SSA_00285
1301,1,5,38,SSA_00119
1302,1,6,38,SSA_00288
1303,1,7,38,SSA_00279
1304,1,8,38,SSA_00105
1305,1,1,39,SSA_00127
1306,1,2,39,SSA_00167
1307,1,3,39,SSA_00248
1308,1,4,39,SSA_00064
1309,1,5,39,SSA_00217
1310,1,6,39,SSA_00200
1311,1,7,39,SSA_00313
1312,1,8,39,SSA_00088
1313,1,1,40,SSA_00082
1314,1,2,40,SSA_00006
1315,1,3,40,SSA_00238
1316,1,4,40,SSA_00344
1317,1,5,40,SSA_00317
1318,1,6,40,SSA_00048
1319,1,7,40,SSA_00148
1320,1,8,40,SSA_00353
2001,2,1,41,SSA_00226
2002,2,2,41,SSA_00047
2003,2,3,41,SSA_00123
2004,2,4,41,SSA_00163
2005,2,5,41,SSA_00055
2006,2,6,41,SSA_00147
2007,2,7,41,SSA_00264
2008,2,8,41,SSA_00025
2009,2,1,42,SSA_00256
2010,2,2,42,SSA_00117
