"","SSA_00197","SSA_00262","SSA_00179","SSA_00001","SSA_00080","SSA_00119","SSA_00286","SSA_00050","SSA_00105","SSA_00005","SSA_00186","SSA_00006","SSA_00018","SSA_00121","SSA_00041","SSA_00033","SSA_00013","SSA_00003","SSA_00156","SSA_00007","SSA_00173","SSA_00187"
"Km18_Ru5P",0.0627285455686098,0.0552890788154889,0.0471981921737593,0.0714400970156882,0.0420447202265659,0.0473970172168963,0.0452136127503308,0.0466819614151974,0.0647235213750077,0.0777851256364358,0.0360850709193205,0.070656312923348,0.0731700750770428,0.0490394694063458,0.0554143681197974,0.065304197231633,0.0491966154806709,0.0402922605197266,0.0522122220639401,0.0721583847372875,0.0458835651357048,0.0497359170066681
"Km33_NADP",0.0375132158748257,0.0375132154658539,0.0375128820022083,0.0375131655308658,0.037512722192448,0.0375128897736212,0.0375125604937213,0.0375128297372355,0.0375129849981184,0.0375135859135521,0.0375124872341721,0.0375131211408024,0.0375128436464109,0.0375127899750412,0.0375129811346824,0.0375129661764405,0.0375128150703996,0.0375129041603965,0.0375128389306815,0.0375126445528099,0.0375128909388973,0.0375126805370999
"Ki57",0.175914019303236,0.167411222217764,0.140620611041766,0.12368797570192,0.144318215491805,0.176295461266996,0.133420576993764,0.131930400866351,0.143884563215831,0.0461972926763577,0.0990855223496427,0.18979960615615,0.117949794273062,0.136341666925133,0.227064168167676,0.153114948325687,0.153278459815404,0.157865813342828,0.116290354950217,0.237970762050768,0.143885712781767,0.12165109736192
"Vm2y22",0.101608138278172,0.101606456653145,0.101608878037393,0.101608678919737,0.101607572596781,0.10160950819733,0.10160880458023,0.101607622617434,0.101608494861556,0.101607765197573,0.101608705286825,0.10160904003177,0.101605195415171,0.101608422102502,0.101609512565589,0.101609205863696,0.101608524629001,0.101605186206991,0.101608846670123,0.101608935753096,0.101611201768231,0.101608572401859
"Vm3y22",0.104569482962788,0.0723675593198239,0.0601135949492346,0.124256352166741,0.0960893898290242,0.0860773740212939,0.0549992825679001,0.0825348202552489,0.135617079864433,0.123448285858143,0.118545701061313,0.0857920277162865,0.0690528081111869,0.0892979038897097,0.0866341006524876,0.0946399116850326,0.117521394969009,0.0601310477951741,0.10785422943204,0.0787784524557739,0.0708542158907332,0.111658678751196
"Vm4y22",0.096077453611944,0.0960757708304778,0.0960769127309072,0.0960784112739354,0.0960774202865248,0.09607741316653,0.0960776464226015,0.0960774921099202,0.0960759717976705,0.0960746027981592,0.0960764393174739,0.0960771719333768,0.0960756935934889,0.0960766017662598,0.0960767632020297,0.0960761032115193,0.0960773198667516,0.0960779965750845,0.0960752841556843,0.0960782591222945,0.0960782232376384,0.0960769236723974
"Vm5y22",0.085509221466512,0.0855088789283658,0.0855099837611496,0.085509588089042,0.0855094243854155,0.0855091630772925,0.0855102423494502,0.0855085840486527,0.0855093625745861,0.0855106187528939,0.0855088787426934,0.0855116311980868,0.0855082689479136,0.0855096512748926,0.0855097280448767,0.0855096132200737,0.0855096053769997,0.0855081378469335,0.0855095710075113,0.0855098179120947,0.0855099243472985,0.0855094972335214
"Vm6y22",0.0934835904644093,0.0934833480184047,0.0934834927985589,0.0934839740851437,0.093484231458395,0.0934840303362782,0.0934833171020052,0.0934828263871296,0.0934837448912926,0.0934815875323052,0.0934835652441328,0.0934826772163566,0.0934838499207121,0.0934843850718758,0.0934834062660709,0.0934838101485161,0.0934834843410847,0.0934823854841364,0.0934837573193373,0.0934831715614821,0.0934831530847569,0.0934841749219334
"Vm7_8y22",0.599448772445095,0.599460675804695,0.599452712306326,0.599448540064777,0.599451062008025,0.599454748983763,0.599461618388106,0.599451156554102,0.599455525226761,0.599463742252801,0.599455298201336,0.59945804507394,0.599453211142393,0.599457302854848,0.599462631099817,0.599460780360786,0.599458762735278,0.599453786969973,0.599457384057699,0.599467523102992,0.599453638019276,0.59945214615845
"Jmaxy22",0.549022502769147,0.549025796995767,0.549021342805396,0.549027212916179,0.549024952722278,0.549023726002869,0.549023988136148,0.549024248653819,0.549028749125912,0.549026623098318,0.549018391447036,0.549024147950928,0.549033053931815,0.549026971287306,0.549024299523786,0.549024144104795,0.549025251173227,0.54903078125967,0.549021201947712,0.54901726274755,0.549021932869033,0.549025469976373
