Accession,ACa2022_400,ACa2022_600,ACa2022_800,ACa2022_1000,ACa2022_1250,ACa2022_300,ACa2022_250,ACa2022_200,ACa2022_100,ACa2022_75,ACa2022_25,ACa2023_400,ACa2023_600,ACa2023_800,ACa2023_1000,ACa2023_1250,ACa2023_300,ACa2023_250,ACa2023_200,ACa2023_100,ACa2023_75,ACa2023_25,GsCa2022_400,GsCa2022_600,GsCa2022_800,GsCa2022_1000,GsCa2022_1250,GsCa2022_300,GsCa2022_250,GsCa2022_200,GsCa2022_100,GsCa2022_75,GsCa2022_25,GsCa2023_400,GsCa2023_600,GsCa2023_800,GsCa2023_1000,GsCa2023_1250,GsCa2023_300,GsCa2023_250,GsCa2023_200,GsCa2023_100,GsCa2023_75,GsCa2023_25,2022_PAR_1800,2022_PAR_1100,2022_PAR_500,2022_PAR_300,2022_PAR_150,2022_PAR_50,2023_PAR_1800,2023_PAR_1100,2023_PAR_500,2023_PAR_300,2023_PAR_150,2023_PAR_50
SSA_00018,30.3949,39.0964,42.9331,44.6948,45.7117,22.2928,18.7726,15.0714,7.15655,5.12333,1.06486,20.7245,24.7566,26.9131,28.2699,29.367,16.1396,13.8207,11.2553,5.38313,3.82371,0.624757,0.131628,0.128538,0.123224,0.116638,0.109208,0.12423,0.126613,0.128553,0.129082,0.128353,0.120972,0.0988695,0.096147,0.0920884,0.0874925,0.0826021,0.0954278,0.0980658,0.100409,0.101653,0.101628,0.0948628,25.3991,24.7418,18.5852,10.9779,3.6399,-0.544111,17.2276,16.5103,16.1467,10.2521,3.50746,-0.281035
SSA_00024,29.2528,38.2008,42.4133,44.677,46.2409,20.894,17.5407,14.0425,6.68699,4.82872,1.16882,21.4564,25.2529,27.3809,28.8167,30.0369,16.322,13.8491,11.1927,5.35405,3.84812,0.82371,0.108548,0.106246,0.102392,0.0976329,0.0922367,0.101208,0.102813,0.104068,0.104331,0.103836,0.099635,0.0868496,0.0846069,0.0812702,0.0775331,0.0735881,0.0844452,0.0862601,0.087782,0.0884671,0.0883407,0.0843337,26.0701,25.6035,19.4498,11.6305,5.2471,0.0262674,19.003,18.361,17.9414,11.1211,4.92556,-0.0946459
SSA_00033,26.7464,28.4088,29.1196,29.5869,29.9913,21.2308,18.3844,15.1658,7.61522,5.69196,1.5861,35.1227,39.1763,40.5755,41.4079,42.0667,27.7493,23.4292,18.9371,9.32538,6.8773,1.91423,0.104403,0.100907,0.0954761,0.0895622,0.0835739,0.0991689,0.102922,0.106478,0.109513,0.111856,0.111096,0.132638,0.127559,0.119957,0.111689,0.103294,0.135595,0.137421,0.1391,0.140221,0.140639,0.137341,21.4848,20.1744,18.5737,12.6244,5.33108,0.243838,28.6233,27.2439,19.7868,11.8608,5.34497,0.128481
SSA_00041,33.1169,34.8556,36.0047,36.9547,37.8938,28.5687,24.3489,20.0362,10.1185,7.49909,2.09218,34.9563,36.8388,37.9933,38.9279,39.836,29.8542,25.3887,20.8179,10.4684,7.74984,2.1784,0.131778,0.125393,0.116996,0.108384,0.0999783,0.136982,0.144168,0.149452,0.153,0.153885,0.150075,0.137424,0.130699,0.121796,0.112647,0.103709,0.142454,0.149499,0.154623,0.157911,0.158544,0.154674,27.2391,26.0199,18.0826,10.4256,4.23053,-0.035291,29.2489,27.9302,18.2801,10.5183,4.28782,-0.00902807
SSA_00050,37.1522,39.4377,40.5527,41.3891,42.1571,29.8132,25.1435,20.4209,10.1871,7.57879,2.27979,26.1737,27.3481,28.126,28.7378,29.3293,21.9165,19.2338,16.1065,8.27723,6.26275,1.8764,0.125018,0.119278,0.111532,0.103506,0.0956224,0.127763,0.130083,0.132092,0.13346,0.13402,0.132257,0.0953984,0.0916861,0.0866191,0.081337,0.0761272,0.0948905,0.0995289,0.10379,0.107466,0.110172,0.109832,30.6981,29.102,20.878,13.3706,6.02285,-0.200334,20.9758,19.7487,18.0261,11.0249,4.77038,0.310514
SSA_00062,35.4356,35.8688,36.1175,36.335,36.5506,29.7499,25.5764,21.0013,10.6744,8.09298,2.6382,46.4622,47.4758,47.2792,47.1044,46.9709,35.4237,29.631,23.7641,11.8381,8.84869,2.87219,0.110434,0.10508,0.0981232,0.0910472,0.0842126,0.114262,0.118246,0.121606,0.124229,0.126209,0.126484,0.136883,0.129809,0.12021,0.110404,0.100937,0.137821,0.138583,0.13911,0.139197,0.139127,0.138472,27.1926,25.2013,16.9665,10.0891,4.32081,0.15578,40.4617,35.0561,17.2679,10.2197,4.38769,0.187698
SSA_00067,32.1578,32.6908,33.1743,33.6174,34.0881,31.2839,28.8686,24.7032,13.0415,10.2269,3.32794,26.2328,26.7167,27.1487,27.5412,27.967,25.7453,24.6018,21.8439,11.462,9.04161,2.95253,0.138078,0.135539,0.128682,0.120421,0.111641,0.139698,0.150964,0.163197,0.175596,0.187794,0.198038,0.116545,0.114877,0.109688,0.103308,0.0964564,0.118126,0.128258,0.13919,0.150781,0.16213,0.171791,24.1945,22.623,18.7141,11.3405,4.8682,-0.526753,19.9289,18.5968,17.2637,11.2615,4.79157,-0.711565
SSA_00068,33.7277,34.7345,35.3226,35.7773,36.2042,29.3389,25.5337,21.3849,11.0072,8.36952,2.50923,29.6987,30.626,31.16,31.5652,31.944,26.2694,23.0784,19.4438,10.067,7.67169,2.29723,0.147127,0.146376,0.140039,0.13162,0.122243,0.141538,0.148055,0.154746,0.161473,0.167861,0.172351,0.128394,0.128498,0.123803,0.117125,0.109471,0.126622,0.132694,0.13898,0.145352,0.15143,0.155763,25.7303,24.1092,17.6642,9.81723,4.0951,0.0382604,23.7618,22.2486,17.6981,9.80434,4.08163,0.0312975
SSA_00070,35.9689,38.9669,40.2686,41.1483,41.9015,30.0598,25.9201,21.2662,10.5567,7.74771,2.14185,33.9963,36.421,37.5125,38.2724,38.9347,28.8836,24.9079,20.4624,10.1731,7.46385,2.0543,0.146608,0.139532,0.130037,0.120156,0.110403,0.157184,0.163514,0.16788,0.1695,0.168698,0.163341,0.139749,0.132975,0.123936,0.114579,0.105383,0.151041,0.157586,0.161969,0.163735,0.162966,0.157767,28.0999,26.578,19.8985,11.8892,5.48533,0.397192,28.6599,27.1387,19.9119,11.8963,5.49372,0.40321
SSA_00075,39.4554,43.2543,44.3939,45.0424,45.5144,30.4304,25.4906,20.5078,10.1696,7.55619,2.32047,27.3718,28.5188,29.2784,29.8987,30.5159,22.3897,19.4094,16.0879,8.20616,6.20014,1.89155,0.124576,0.119293,0.111818,0.103907,0.0960229,0.126177,0.127238,0.128108,0.128503,0.128453,0.126869,0.0943849,0.0906829,0.0856508,0.0804238,0.075285,0.0932253,0.0968941,0.100208,0.10301,0.105107,0.104879,34.2519,32.2863,18.8507,10.8854,4.67743,0.273212,21.3417,20.1129,17.7917,10.6917,4.55987,0.212929
SSA_00079,42.1049,46.2801,47.7278,48.5222,49.0514,33.371,27.9258,22.4849,10.9437,7.99059,2.16293,33.9638,36.3286,37.545,38.411,39.172,26.2958,22.6121,18.5727,9.1993,6.792,1.83108,0.165369,0.157812,0.147034,0.135569,0.124092,0.168378,0.170998,0.173099,0.173894,0.173264,0.167445,0.137082,0.130892,0.122369,0.113437,0.10458,0.128308,0.133277,0.137774,0.141067,0.142835,0.139519,35.3224,33.5404,20.2248,12.1838,5.60396,0.0848918,27.8446,26.3809,19.9935,12.0908,5.54175,0.102389
SSA_00080,41.4949,42.0887,42.5043,42.8826,43.2688,36.1181,31.5213,25.9854,13.3671,10.2766,3.34443,25.013,25.3942,25.6528,25.8819,26.1308,23.5849,21.2299,17.9178,9.40196,7.34028,2.42127,0.149901,0.146366,0.138197,0.128624,0.118604,0.150058,0.157273,0.164452,0.171487,0.178314,0.183966,0.0865635,0.0872441,0.0853597,0.0820538,0.0780035,0.0941166,0.100222,0.106635,0.113013,0.119321,0.124869,31.1682,29.1005,20.5015,12.3731,5.41041,0.535095,18.6224,17.2363,16.0471,12.1315,5.51561,0.409209
SSA_00091,37.7812,39.5622,40.1534,40.4978,40.7518,31.6522,27.1359,22.213,11.0399,8.15809,2.26373,33.2633,34.8536,35.5767,36.0487,36.4193,28.3072,24.3984,20.1241,10.0858,7.46285,2.02995,0.150171,0.14275,0.132594,0.122031,0.111659,0.155141,0.160381,0.165037,0.168371,0.169826,0.166206,0.134078,0.127859,0.119311,0.110392,0.101596,0.140502,0.145635,0.15035,0.154048,0.155879,0.152558,32.1371,29.5736,18.1473,10.4897,4.4244,-0.268488,28.8604,26.9159,17.871,10.3263,4.26894,-0.415813
SSA_00096,41.8682,44.1899,44.5947,44.7496,44.8475,33.9728,28.7612,23.2994,11.494,8.47374,2.35456,37.027,39.676,40.5372,41.0071,41.351,30.1461,25.5504,20.7648,10.2477,7.51441,1.96458,0.164648,0.156642,0.145272,0.133316,0.121527,0.167757,0.17143,0.174705,0.176986,0.177936,0.173962,0.147926,0.141194,0.131655,0.121562,0.111526,0.151684,0.154954,0.157924,0.160049,0.16079,0.156231,35.286,32.0748,18.0037,10.1445,4.3036,0.167784,31.6429,29.4419,17.4111,9.78866,4.02305,-0.0116995
SSA_00097,39.3768,42.9721,43.7257,44.0892,44.3403,30.9585,26.0363,20.9477,10.2136,7.48749,2.11159,31.5789,33.1613,33.8289,34.2791,34.6555,26.4681,22.7761,18.653,9.23739,6.82004,1.92107,0.143529,0.13704,0.127815,0.118041,0.108329,0.146446,0.148563,0.150173,0.150482,0.149816,0.145701,0.120462,0.114888,0.10741,0.0996689,0.0920784,0.124478,0.128487,0.131975,0.134136,0.134803,0.131869,32.9201,30.8505,19.9239,11.8137,4.51568,0.215537,25.2894,23.6045,19.0484,11.0317,4.82942,0.342496
SSA_00105,33.476,37.3566,38.4458,38.9815,39.321,26.7039,22.6345,18.2526,8.88083,6.48205,1.7776,33.8766,37.7305,38.7852,39.2981,39.6201,26.9967,22.8517,18.4093,8.95347,6.53731,1.8008,0.118712,0.113798,0.106962,0.0996679,0.0923466,0.122133,0.124455,0.126079,0.126257,0.125584,0.122066,0.119913,0.11489,0.107915,0.100485,0.0930394,0.123131,0.125417,0.126983,0.127116,0.126425,0.122915,28.5806,26.9199,18.1978,10.3692,4.00951,-0.63803,28.9863,27.2687,18.2657,10.4015,4.04872,-0.617961
SSA_00108,30.4717,32.1957,33.2845,34.093,34.823,24.742,21.5577,17.9767,9.13716,6.84652,1.88027,30.5437,32.2151,33.2796,34.0736,34.7915,24.8289,21.5985,18.0001,9.14237,6.84894,1.88173,0.137489,0.131811,0.123573,0.114792,0.105993,0.126631,0.132524,0.138323,0.14365,0.147891,0.147478,0.13719,0.131581,0.123383,0.114628,0.10585,0.126751,0.132657,0.13845,0.14376,0.147975,0.14755,23.7819,22.4106,18.9664,11.7074,5.24411,-0.410133,24.3885,23.0173,19.0931,11.5761,5.2382,-0.428673
SSA_00110,34.608,36.6208,37.8291,38.7521,39.6007,27.6576,23.677,19.4612,9.56763,7.02012,1.75429,33.8705,35.7633,36.9047,37.7811,38.5891,27.2341,23.2655,19.1199,9.40051,6.89678,1.71859,0.171201,0.163542,0.152439,0.140644,0.128865,0.156082,0.162876,0.169258,0.174387,0.17771,0.173024,0.167565,0.160128,0.14931,0.137816,0.12634,0.153142,0.159894,0.166207,0.171296,0.174585,0.169991,27.0608,25.554,20.0457,12.1072,5.57981,0.443578,27.6752,26.1437,20.0792,12.1103,5.58441,0.445332
SSA_00113,18.1006,18.8209,19.3658,19.8146,20.2737,17.2219,15.1505,12.8833,6.77607,5.07912,1.32917,18.8238,19.5731,20.1252,20.5746,21.0267,17.7636,15.5292,13.2034,6.89999,5.16339,1.35625,0.0847046,0.0815639,0.077362,0.0730151,0.0687516,0.0880053,0.0945864,0.0999244,0.104718,0.107591,0.105296,0.0866437,0.0833788,0.0790048,0.0744779,0.0700361,0.0900434,0.0964459,0.10175,0.106416,0.109142,0.106785,14.2511,13.2792,12.4544,10.5262,4.63309,0.155692,15.5455,14.5038,13.6471,10.7025,4.66212,0.206862
SSA_00119,32.9848,41.1987,43.1418,43.9342,44.4085,25.0785,20.9646,16.774,8.2074,6.0446,1.76598,32.7497,40.428,42.264,43.0384,43.5121,24.7424,20.7012,16.577,8.11492,5.97853,1.74627,0.104942,0.10218,0.0975101,0.0920359,0.0862026,0.106234,0.106731,0.107069,0.106952,0.106499,0.104366,0.104214,0.101382,0.0966681,0.0911987,0.0854057,0.104753,0.105375,0.105821,0.105778,0.105384,0.103319,30.1699,29.4393,19.7133,11.858,4.62719,0.117874,30.2793,29.5712,19.7326,11.8626,4.63343,0.121909
SSA_00121,21.5487,27.8157,29.9237,30.9704,31.6799,15.9321,13.4159,10.7647,5.18311,3.77293,0.992782,22.8583,31.0634,33.6658,34.7275,35.3501,16.6858,13.9961,11.1969,5.38775,3.92688,1.0574,0.0693313,0.06814,0.0661585,0.0637611,0.0611212,0.0671008,0.0680489,0.0687418,0.068875,0.0686915,0.0671498,0.0713967,0.07047,0.0686305,0.0662208,0.0634555,0.0689972,0.069822,0.0703979,0.0704402,0.0702039,0.0686871,19.3885,18.8308,16.7086,10.0023,3.44113,-0.865775,21.4278,21.1328,17.8025,10.2659,3.69723,-0.786907
SSA_00123,31.3953,34.781,36.2281,37.1528,37.9089,25.0777,21.4714,17.4898,8.54123,6.22367,1.65223,31.2895,34.7335,36.213,37.1508,37.916,25.0026,21.4656,17.5148,8.564,6.24344,1.6586,0.12075,0.115637,0.108671,0.101324,0.0939838,0.123243,0.127118,0.129898,0.130613,0.129892,0.125434,0.120624,0.115521,0.108589,0.101272,0.0939543,0.123007,0.127037,0.129992,0.130781,0.130123,0.125691,27.6401,26.4107,19.9465,12.0374,5.49107,-0.155323,26.3599,25.1105,19.8282,12.0161,5.47734,-0.151104
